Verslóritgerðir	nvfn-s
menn	nkfn
ásamt	aþ
mörgum	lkfþsf
fleirum	lkfþsm
sköpuðu	sfg3fþ
það	faheo
sem	ct
nú	aa
kallast	sfm3en
klassísk	lvensf
tónlist	nven
.	.

Í	ao
þá	fakfo
daga	nkfo
var	sfg3eþ
tónlist	nven
mörgum	lkfþsf
hjartans	nheeg
mál	nhen
og	c
biðu	sfg3fþ
menn	nkfn
með	aþ
óþreyju	nveþ
eftir	aþ
að	c
tónskáldin	nhfng
kláruðu	svg3fþ
meistaraverk	nhfo
sín	fehfo
,	,
þetta	fahen
voru	sfg3fþ
líka	aa
sannkölluð	lhfnsf
meistaraverk	nhfn
,	,
heilu	lvfnvf
sinfóníurnar	nvfng
voru	sfg3fþ
samdar	sþgvfn
og	c
menn	nkfn
gáfu	sfg3fþ
sig	fpkfo
alla	fokfo
í	ao
verkið	nheog
.	.

Að	cn
hlusta	sng
á	ao
gamlar	lvfosf
sinfóníur	nvfo
er	sfg3en
eins	aa
og	c
að	cn
horfa	sng
á	ao
leikrit	nheo
,	,
mismunandi	lvfnof
tilfinningar	nvfn
takast	sfm3fn
á	aa
og	c
sá	faken
sem	ct
hlustar	sfg3en
af	aþ
innlifun	nveþ
vekur	sfg3en
með	aþ
sér	fpkeþ
þessar	favfo
tilfinningar	nvfo
og	c
skynjar	sfg3en
þær	favfo
sem	ct
sínar	fevfo
eigin	lvfoof
,	,
að	cn
semja	sng
slík	fbhfo
verk	nhfo
er	sfg3en
ekki	aa
á	aþ
hvers	fokee
manns	nkee
færi	nheþ
.	.

Enn	aa
þann	fakeo
dag	nkeo
í	ao
dag	nkeo
eru	sfg3fn
tónverk	nhfn
gömlu	lhfevf
skáldanna	nhfeg
leikin	sþghfn
af	aþ
sinfóníuhljómsveitum	nvfþ
um	ao
allan	fokeo
heim	nkeo
.	.

Í	aa
gegnum	ao
árin	nhfog
þróaðist	sfm3eþ
tónlistin	nveng
og	c
nýjar	lvfnsf
stefnur	nvfn
tóku	sfg3fþ
að	cn
myndast	snm
samhliða	aþ
því	fpheþ
að	c
menn	nkfn
fóru	sfg3fþ
að	cn
finna	sng
upp	aa
ný	lhfosf
hljóðfæri	nhfo
og	c
nýjar	lvfosf
leiðir	nvfo
til	ae
að	cn
spila	sng
á	ao
hin	ghfo
gömlu	lhfovf
.	.

Mest	lvense
hefur	sfg3en
þróun	nven
tónlistar	nvee
verið	ssg
á	aþ
tuttugustu	lveþvf
öld	nveþ
og	c
hefur	sfg3en
hver	foken
áratugurinn	nkeng
á	ao
fætur	nkfo
öðrum	fokeþ
haft	ssg
í	aþ
för	nveþ
með	aþ
sér	fpkeþ
róttækar	lvfosf
tónlistarstefnur	nvfo
og	c
umdeilda	lkfosf
tónlistarmenn	nkfo
.	.

Snemma	aa
á	aþ
öldinni	nveþg
var	sfg3eþ
fólk	nhen
að	cn
dansa	sng
Charleston	e
í	aþ
villtri	lveþsf
sveiflu	nveþ
og	c
«	«
Swing	e
»	»
tónlistin	nveng
var	sfg3eþ
allsráðandi	lvenof
hjá	aþ
ungu	lheþsf
fólki	nheþ
.	.

«	«
Swing	e
»	»
tónlist	nven
er	sfg3en
spiluð	sþgven
af	aþ
svokölluðum	lvfþsf
«	«
Big	e
Band	e
»	»
hljómsveitum	nvfþ
þar	aa
sem	c
lúðrar	nkfn
og	c
trommur	nvfn
eru	sfg3fn
í	aþ
stórum	lkeþsf
meirihluta	nkeþ
.	.

Þegar	c
fram	aa
liðu	sfg3fþ
stundir	nvfn
komu	sfg3fþ
fleiri	lvfnvm
og	c
fleiri	lvfnvm
stefnur	nvfn
,	,
mikið	lhensf
af	aþ
þessu	faheþ
þróaðist	sfm3eþ
hjá	aþ
blökkumönnum	nkfþ
í	aþ
Bretlandi	nheþ-s
og	c
Bandaríkjunum	nhfþgs
,	,
þar	aa
má	sfg3en
helst	aae
nefna	sng
Djass	nkeo
,	,
Blús	nkeo
og	c
síðar	aam
Rokk	nheo
,	,
þetta	fahen
er	sfg3en
ekki	aa
tæmandi	lhenof
þar	aa
sem	c
ótal	nhen
útgáfur	nvfn
voru	sfg3fþ
og	c
eru	sfg3fn
til	aa
,	,
t.d.	as
Skiffle	e
.	.

Tónlistarmenn	nkfn
eins	aa
og	c
Fats	e
Domino	e
voru	sfg3fþ
í	aþ
miklu	lheþsf
uppáhaldi	nheþ
hjá	aþ
ungu	lheþsf
fólki	nheþ
og	c
höfðu	sfg3fþ
mikil	lhfosf
áhrif	nhfo
á	ao
verðandi	lkfoof
tónlistarmenn	nkfo
.	.

Tónlist	nven
hefur	sfg3en
stundum	aa
leitt	ssg
af	aþ
sér	fpveþ
nokkurs	fokee
konar	nkee
brjálæði	nheo
þar	aa
sem	c
fólk	nhen
gjörsamlega	aa
missir	sfg3en
alla	foveo
stjórn	nveo
á	aþ
sér	fpheþ
,	,
þetta	fahen
á	sfg3en
nú	aa
helst	aae
við	aa
í	aþ
sambandi	nheþ
við	ao
dýrkun	nveo
á	aþ
tónlistarmönnum	nkfþ
,	,
bítlaæðið	nheng
var	sfg3eþ
gott	lhensf
dæmi	nhen
um	ao
slíkt	fbheo
brjálæði	nheo
.	.

Helstu	lkfnve
tónlistarmenn	nkfn
síðustu	lveeve
aldar	nvee
voru	sfg3fþ
Elvis	nken-s
Presley	e
,	,
Bítlarnir	nkfngs
og	c
Rolling	e
Stones	e
.	.

Elvis	nken-s
var	sfg3eþ
konungurinn	nkeng
,	,
í	aþ
upphafi	nheþ
hneykslaðist	sfm3eþ
fólk	nhen
á	aþ
villtum	lvfþsf
mjaðmahreyfingum	nvfþ
hans	fpkee
en	c
fljótt	aa
tók	sfg3eþ
við	aa
hin	gven
magnaða	lvenvf
aðdáun	nven
sem	ct
á	sfg3en
sér	fpveþ
enn	aa
stað	nkeo
í	ao
dag	nkeo
.	.

Elvis	nken-s
dó	sfg3eþ
árið	nheog
1977	ta
en	c
margir	lkfnsf
neita	sfg3fn
að	cn
trúa	sng
því	fpheþ
og	c
telja	sfg3fn
margir	lkfnsf
sig	fpkfo
hafa	sng
séð	ssg
hann	fpkeo
á	aþ
labbi	nheþ
.	.

Bítlarnir	nkfng
,	,
þeir	fpkfn
John	e
,	,
Paul	e
,	,
George	e
og	c
Ringo	e
byrjuðu	sfg3fþ
ungir	lkfnsf
að	cn
spila	sng
saman	aa
og	c
saman	aa
þroskuðust	sfm3fþ
þeir	fpkfn
og	c
urðu	sfg3fþ
lifandi	lvfnof
goðsagnir	nvfn
.	.

Önnur	foven
eins	lvenof
framleiðni	nven
á	aþ
tónlist	nveþ
hefur	sfg3en
vart	aa
sést	ssm
,	,
Paul	e
McCartney	e
og	c
John	e
Lennon	e
aðal	lkfnof
tónsmiðirnir	nkfng
voru	sfg3fþ
hreint	aa
út	aa
sagt	ssg
ótrúlega	aa
færir	lkfnsf
að	cn
semja	sng
góða	lveosf
tónlist	nveo
,	,
hver	foken
«	«
hittarinn	nkeng
»	»
á	ao
fætur	nkfo
öðrum	fokeþ
sem	ct
náði	sfg3eþ
á	ao
efstu	lhfove
sæti	nhfo
flestra	lkfese
vinsældarlista	nkfe
.	.

Rolling	e
Stones	e
er	sfg3en
ennþá	aa
að	cn
spila	sng
og	c
vart	aa
sést	sfm3en
fyrir	ao
endan	x
á	aþ
þeirra	fpkfe
sigurgöngu	nveþ
um	ao
heiminn	nkeog
,	,
þeir	fpkfn
eru	sfg3fn
orðnir	sþgkfn
gamlir	lkfnsf
kallar	nkfn
en	c
eru	sfg3fn
þvílík	fbhfn
kyntröll	nhfn
að	c
ungir	lkfnsf
menn	nkfn
mega	sfg3fn
skammast	snm
sín	fpkfe
.	.

Í	ao
dag	nkeo
eru	sfg3fn
fyrirmyndir	nvfn
ungra	lkfesf
drengja	nkfe
og	c
stúlkna	nvfe
oft	aa
tónlistarmenn	nkfn
á	ao
borð	nheo
við	ao
Britney	e
Spears	e
,	,
Enrique	e
Iglesias	e
,	,
Sugababes	e
og	c
svo	aa
mætti	svg3eþ
lengi	aa
telja	sng
.	.

Flestir	lkfnse
þessir	fakfn
tónlistarmenn	nkfn
eiga	sfg3fn
það	fpheo
sameiginlegt	lheosf
að	cn
semja	sng
ekki	aa
sína	feveo
tónlist	nveo
sjálfir	fbkfn
heldur	c
fá	sng
tilbúin	lhfosf
lög	nhfo
upp	aa
í	ao
hendurnar	nvfog
sem	ct
eru	sfg3fn
samin	sþghfn
eftir	aþ
vinsældarformúlum	nvfþ
,	,
hér	aa
er	sfg3en
það	fphen
yfirleitt	aa
ýmind	x
flytjandans	nkeeg
sem	ct
höfðar	sfg3en
til	ae
hlustandans	nkeeg
.	.

Svo	aa
er	sfg3en
það	fphen
bara	aa
spurning	nven
hvað	fsheo
framtíðin	nveng
ber	sfg3en
í	aþ
skauti	nheþ
sér	fpveþ
.	.

Tónlist	nven
fyrir	ao
fólkið	nheog

Í	aþ
upphafi	nheþ
fór	sfg3eþ
fólk	nhen
á	ao
tónleika	nkfo
til	ae
þess	fphee
að	cn
hlusta	sng
á	ao
tónlist	nveo
,	,
ekki	aa
var	sfg3eþ
neinn	foken
annar	foken
valkostur	nken
fyrir	aþ
hendi	nveþ
nema	c
þá	aa
að	cn
spila	sng
hana	fpveo
sjálfur	fbken
.	.

Fólk	nhen
ferðaðist	sfm3eþ
langar	lvfosf
leiðir	nvfo
til	ae
þess	fphee
eins	lheesf
að	cn
fá	sng
að	cn
sjá	sng
og	c
heyra	sng
sína	fekfo
uppáhalds	nhee
tónlistarmenn	nkfo
flytja	sng
verk	nhfo
sín	fehfo
.	.

Engin	foven
leið	nven
var	sfg3eþ
að	cn
taka	sng
upp	aa
tónlistina	nveog
og	c
var	sfg3eþ
hver	foken
flutningur	nken
einstakur	lkensf
.	.

Eftir	aþ
því	faheþ
sem	ct
árin	nhfng
liðu	sfg3fþ
og	c
tækninni	nveþg
fleygð	x
fram	aa
kom	sfg3eþ
fram	aa
á	ao
sjónarsviðið	nheog
brautryðjandi	lvenof
uppfinning	nven
.	.

Þetta	fahen
var	sfg3eþ
apparat	nhen
sem	ct
skynjaði	sfg3eþ
titring	nkeo
frá	aþ
hljóði	nheþ
og	c
risti	sfg3eþ
með	aþ
nál	nveþ
í	ao
kefli	nheo
sem	ct
snerist	sfm3eþ
,	,
þegar	c
nálinni	nveþg
var	sfg3eþ
dregið	sþghen
aftur	aa
yfir	aa
og	c
keflinu	nheþg
snúið	sþghen
þá	aa
heyrðist	sfm3eþ
hljóðið	nheng
sem	ct
ristað	sþghen
hafði	sfg3eþ
verið	ssg
í	ao
keflið	nheog
.	.

Þessi	faven
uppfinning	nven
þróaðist	sfm3eþ
síðan	aa
í	ao
þá	faveo
átt	nveo
að	c
í	ao
stað	nkeo
keflisins	nheeg
var	sfg3eþ
komin	sþgven
plata	nven
og	c
nokkurs	fokee
konar	nkee
gjallarhorn	nhen
leiddi	sfg3eþ
frá	aþ
nálinni	nveþg
svo	aa
hljóðið	nheng
heyrðist	sfm3eþ
hærra	aam
.	.

Hérna	aa
var	sfg3eþ
kominn	sþgken
hinn	gken
fyrsti	lkenve
Grammófónn	nken
sem	ct
spilaði	sfg3eþ
plötur	nvfo
.	.

Nú	aa
var	sfg3eþ
hægt	lhensf
að	cn
taka	sng
upp	aa
tónlist	nveo
og	c
spila	sng
hana	fpveo
aftur	aa
og	c
aftur	aa
.	.

Þetta	fahen
auðveldaði	sfg3eþ
aðgang	nkeo
fólks	nhee
að	aþ
tónlist	nveþ
og	c
hvatti	sfg3eþ
til	ae
þess	fphee
að	c
fleiri	lkfnvm
færu	svg3fþ
út	aa
á	ao
þá	faveo
braut	nveo
að	cn
semja	sng
og	c
spila	sng
tónlist	nveo
.	.

Fólk	nhen
gat	sfg3eþ
nú	aa
keypt	ssg
plötur	nvfo
út	aa
í	aþ
búð	nveþ
og	c
með	aþ
árunum	nhfþg
jókst	sfm3eþ
framboð	nhen
á	aþ
tónlist	nveþ
og	c
tónlistarstefnum	nvfþ
.	.

Næsta	aa
brautryðjandi	lvenof
uppfinning	nven
var	sfg3eþ
útvarpið	nheng
,	,
tónlist	nven
fór	sfg3eþ
nú	aa
að	cn
berast	snm
til	ae
fólks	nhee
á	aþ
öldum	nvfþ
ljósvakans	nkeeg
og	c
þótti	sfg3eþ
það	fphen
magnað	lhensf
,	,
fólk	nhen
heyrði	sfg3eþ
nú	aa
nýja	lveosf
tónlist	nveo
sem	ct
það	fphen
hafði	sfg3eþ
kannski	aa
aldrei	aa
heyrt	ssg
áður	aa
og	c
hvatti	sfg3eþ
það	fpheo
til	ae
þess	fphee
að	cn
fara	sng
út	aa
í	ao
búð	nveo
og	c
kaupa	sng
plötu	nveo
sem	ct
annars	aa
hefði	svg3eþ
það	fphen
aldrei	aa
dottið	ssg
í	ao
hug	nkeo
að	cn
kaupa	sng
.	.

Svona	aa
fleygði	sfg3eþ
tækninni	nveþg
áfram	aa
og	c
næsta	lhenve
stopp	nhen
var	sfg3eþ
segulbandið	nheng
.	.

Nú	aa
kom	sfg3eþ
áfall	nhen
á	ao
tónlistariðnaðinn	nkeog
,	,
menn	nkfn
sáu	sfg3fþ
fyrir	aþ
sér	fpkfþ
að	c
nú	aa
myndi	svg3eþ
enginn	foken
kaupa	sng
plötur	nvfo
,	,
nú	aa
var	sfg3eþ
hægt	lhensf
með	aþ
útvarpi	nheþ
og	c
segulbandstæki	nheþ
að	cn
taka	sng
upp	aa
tónlist	nveo
sem	ct
maður	nken
heyrði	sfg3eþ
í	aþ
útvarpinu	nheþg
.	.

Ekki	aa
hrundi	sfg3eþ
tónlistariðnaðurinn	nkeng
og	c
allt	fohen
var	sfg3eþ
í	aþ
stakasta	lheþve
lagi	nheþ
.	.

Vasadiskóið	nheng
var	sfg3eþ
bylting	nven
að	aþ
því	faheþ
leiti	nheþ
að	c
nú	aa
gat	sfg3eþ
fólk	nhen
hlustað	ssg
á	ao
tónlist	nveo
hvar	aa
sem	c
var	sfg3eþ
án	ae
þess	fphee
að	cn
trufla	sng
nokkurn	fokeo
mann	nkeo
.	.

Með	aþ
tímanum	nkeþg
komu	sfg3fþ
ýmsar	fovfn
nýjungar	nvfn
eins	aa
og	c
geisladiskar	nkfn
sem	ct
nú	aa
hafa	sfg3fn
nokkurn	fokeo
veginn	nkeog
rutt	ssg
vínylplötum	nvfþ
úr	aþ
vegi	nkeþ
.	.

Nú	aa
stendur	sfg3en
tónlistariðnaðurinn	nkeng
frammi	aa
fyrir	aþ
annarri	foveþ
ógn	nveþ
líkt	aa
og	c
segulbandið	nheng
var	sfg3eþ
einu	foheþ
sinni	nheþ
.	.

Með	aþ
tilkomu	nveþ
internetsins	nheeg
og	c
háhraða	lvfeof
internettenginga	nvfe
er	sfg3en
fólk	nhen
farið	sþghen
að	cn
deila	sng
á	aa
milli	ae
sín	fphee
tónlist	nveþ
án	ae
þess	fphee
að	cn
virða	sng
höfundarétt	nkeo
eða	c
greiða	sng
nokkurn	fokeo
hlut	nkeo
fyrir	aa
.	.

Um	ao
þetta	faheo
er	sfg3en
mikið	lhensf
deilt	sþghen
og	c
segja	sfg3fn
sumir	fokfn
að	c
þetta	fahen
sé	svg3en
nokkurs	fokee
konar	nkee
prufun	nven
,	,
það	fphen
sé	svg3en
verið	sþghen
að	cn
prufa	sng
hvort	c
þetta	fahen
og	c
hitt	fahen
sé	svg3en
kannski	aa
eitthvað	fohen
sem	ct
maður	nken
vill	sfg3en
kaupa	sng
.	.

Hvernig	aa
svo	aa
sem	c
það	fphen
er	sfg3en
þá	aa
er	sfg3en
skýrt	aa
og	c
greinilega	aa
ólöglegt	lhensf
að	cn
afrita	sng
og	c
dreifa	sng
efni	nheþ
sem	ct
er	sfg3en
verndað	sþghen
af	aþ
höfundarréttarlögum	nhfþ
.	.

Það	fphen
er	sfg3en
hreinn	lkensf
og	c
beinn	lkensf
stuldur	nken
,	,
tónlistarmenn	nkfn
eru	sfg3fn
að	cn
tapa	sng
gríðarlegum	lvfþsf
tekjum	nvfþ
á	aþ
þessu	faheþ
en	c
spurningin	nveng
er	sfg3en
sú	faven
hvort	c
eitthvað	foheo
sé	svg3en
í	aþ
raun	nveþ
hægt	lhensf
að	cn
gera	sng
.	.

Aðal	lhenof
málið	nheng
að	aþ
mínu	feheþ
mati	nheþ
er	sfg3en
að	c
tónlistin	nveng
fái	svg3en
að	cn
njóta	sng
sín	fpvee
,	,
ef	c
tónlistarmenn	nkfn
hætta	sfg3fn
að	cn
fá	sng
borgað	ssg
fyrir	ao
tónlistina	nveog
sína	feveo
hætta	sfg3fn
þeir	fpkfn
einfaldlega	aa
að	cn
gefa	sng
hana	fpveo
út	aa
og	c
það	fphen
er	sfg3en
ekki	aa
óskastaðan	nveng
.	.

Að	aþ
lokum	nhfþ

Að	aþ
mínu	feheþ
mati	nheþ
er	sfg3en
tónlist	nven
ómissandi	lkenof
förunautur	nken
í	aþ
daglegu	lheþsf
lífi	nheþ
og	c
þar	aa
sem	c
ég	fp1en
er	sfg1en
gítarleikari	nken
sjálfur	fbken
finnst	sfm3en
mér	fp1eþ
dagurinn	nkeng
ekki	aa
fullkominn	lkensf
án	ae
þess	fphee
að	cn
grípa	sng
í	ao
gítarinn	nkeog
og	c
spila	sng
nokkur	fohfo
lög	nhfo
.	.

Frá	aþ
degi	nkeþ
til	ae
dags	nkee
heyrir	sfg3en
fólk	nhen
tónlist	nveo
út	aa
um	ao
allt	foheo
,	,
stundum	aa
jafnvel	aa
án	ae
þess	fphee
að	cn
gera	sng
sér	fpheþ
grein	nveo
fyrir	aþ
því	fpheþ
,	,
hver	fsken
kveikir	sfg3en
ekki	aa
á	aþ
útvarpinu	nheþg
á	aþ
leið	nveþ
sinni	feveþ
í	ao
vinnu	nveo
eða	c
skóla	nkeo
?	?

Verslanir	nvfn
hafa	sfg3fn
oft	aa
þægilega	lveosf
tónlist	nveo
lágt	aa
spilaða	lveosf
,	,
þetta	fahen
léttir	sfg3en
undir	aþ
kúnnanum	nkeþg
og	c
kemur	sfg3en
honum	fpkeþ
í	ao
gott	lheosf
skap	nheo
.	.

Ég	fp1en
get	sfg1en
sagt	ssg
fyrir	ao
mitt	feheo
leiti	nheo
að	c
líf	nhen
mitt	fehen
væri	svg3eþ
leiðinlegt	lhensf
ef	c
tónlistar	nvee
nyti	svg3eþ
þar	aa
ekki	aa
við	aa
.	.

Verslóritgerðir	nvfn-s
2005	ta
,	,
stelpur	nvfn

Breytingar	nvfn
í	aþ
vændum	nvfþ

Nú	aa
eru	sfg3fn
breytingar	nvfn
í	aþ
vændum	nvfþ
hjá	aþ
mér	fp1eþ
og	c
öllum	fokfþ
öðrum	fokfþ
útskriftarnemendum	nkfþ
.	.

Við	fp1fn
erum	sfg1fn
að	cn
klára	sng
menntaskólann	nkeog
og	c
nú	aa
er	sfg3en
lífið	nheng
virkilega	aa
að	cn
hefjast	snm
.	.

Við	fp1fn
ráðum	sfg1fn
algerlega	aa
hvað	fsheo
við	fp1fn
erum	sfg1fn
að	cn
fara	sng
að	cn
gera	sng
,	,
hvort	c
við	fp1fn
förum	sfg1fn
beint	aa
í	ao
háskóla	nkeo
,	,
tökum	sfg1fn
okkur	fp1fþ
frí	nheo
og	c
vinnum	sfg1fn
eða	c
förum	sfg1fn
að	cn
ferðast	snm
.	.

Þessar	favfn
breytingar	nvfn
eru	sfg3fn
oftast	aae
til	ae
hins	ghee
betra	lheevm
en	c
þó	aa
eru	sfg3fn
margir	lkfnsf
sem	ct
eiga	sfg3fn
eftir	aa
að	cn
sakna	sng
menntaskólaáranna	nhfeg
og	c
öllu	foheþ
félagslífinu	nheþg
sem	ct
þeim	fphfþ
fylgdi	sfg3eþ
.	.

Hvernig	aa
kemstu	sfm2en
að	aþ
því	fpheþ
hvað	fsheo
eigi	svg3en
að	cn
gera	sng
í	aþ
framhaldinu	nheþg
?	?

Hvað	fshen
bíður	sfg3en
þín	fp2ee
?	?

Ég	fp1en
er	sfg1en
mjög	aa
óákveðin	lvensf
og	c
hef	sfg1en
litla	lveosf
hugmynd	nveo
um	ao
hvað	fsheo
mig	fp1eo
langar	sfg3en
til	ae
að	cn
gera	sng
og	c
hvaða	fsvfn
breytingar	nvfn
bíða	sfg3fn
mín	fp1ee
.	.

Það	fphen
er	sfg3en
margt	lhensf
sem	ct
mig	fp1eo
langar	sfg3en
til	ae
að	cn
gera	sng
en	c
þótt	c
viljinn	nkeng
sé	svg3en
fyrir	aþ
hendi	nveþ
þá	aa
er	sfg3en
margt	lhensf
annað	fohen
sem	ct
stoppar	sfg3en
þessar	favfo
langanir	nvfo
mínar	fevfo
.	.

Ég	fp1en
er	sfg1en
búin	lvensf
að	cn
spurja	sng
alla	fokfo
sem	ct
ég	fp1en
þekki	sfg1en
hvað	fshen
þeim	fpkfþ
finnist	svm3en
vera	sng
gáfulegast	lheose
að	cn
gera	sng
og	c
eru	sfg3fn
mjög	aa
misjafnar	lvfnsf
skoðanir	nvfn
á	aþ
því	fpheþ
.	.

Auðvitað	aa
á	sfg3en
maður	nken
ekki	aa
að	cn
fara	sng
eftir	aþ
því	faheþ
sem	ct
að	aþ
öðrum	fokfþ
finnst	sfm3en
en	c
það	fphen
er	sfg3en
samt	aa
betra	lhenvm
að	cn
fá	sng
að	cn
vita	sng
hvað	fsheo
sé	svg3en
sniðugt	lhensf
að	cn
gera	sng
og	c
hvað	fshen
sé	svg3en
það	fphen
ekki	aa
.	.

Ég	fp1en
læt	sfg1en
að	aþ
nokkru	foheþ
leyti	nheþ
stjórnast	snm
af	aþ
þessu	faheþ
,	,
því	fpheþ
ég	fp1en
ætlaði	sfg1eþ
að	cn
taka	sng
mér	fp1eþ
ársfrí	nheo
frá	aþ
skóla	nkeþ
og	c
vinna	sng
.	.

Nú	aa
er	sfg3en
búið	lhensf
að	cn
telja	sng
mér	fp1eþ
hughvarft	x
.	.

Allir	fokfn
sögðu	sfg3fþ
að	c
það	fphen
væri	svg3eþ
ekki	aa
gáfulegt	lhensf
að	cn
taka	sng
sér	fpkeþ
frí	nheo
.	.

Þá	aa
byrjaði	svg3eþ
maður	nken
að	cn
þéna	sng
og	c
það	fphen
væri	svg3eþ
erfiðara	lhenvm
að	cn
byrja	sng
aftur	aa
í	aþ
skóla	nkeþ
eftir	ao
það	fpheo
,	,
maður	nken
vill	sfg3en
ekki	aa
vera	sng
peningalaus	lkensf
.	.

Ég	fp1en
velti	sfg1eþ
því	fpheþ
líka	aa
fyrir	aþ
mér	fp1eþ
að	cn
ferðast	snm
,	,
fara	sng
á	ao
framandi	lvfoof
slóðir	nvfo
og	c
kynnast	snm
nýrri	lveþsf
menningu	nveþ
.	.

Það	fphen
kom	sfg3eþ
heldur	aam
ekki	aa
til	ae
greina	nvfe
að	cn
gera	sng
það	fpheo
strax	aa
.	.

Þegar	c
ég	fp1en
hugsaði	sfg1eþ
síðan	aa
aðeins	aa
betur	aam
um	ao
framhaldið	nheog
kom	sfg3eþ
í	ao
ljós	nheo
að	c
ég	fp1en
vissi	sfg1eþ
nú	aa
alveg	aa
nokkurnveginn	aa
hvað	fsheo
mig	fp1eo
langaði	sfg3eþ
til	ae
að	cn
gera	sng
,	,
eða	c
ég	fp1en
hafði	sfg1eþ
ákveðnar	lvfosf
hugmyndir	nvfo
um	ao
það	fpheo
.	.

Ég	fp1en
vildi	sfg1eþ
vera	sng
heima	aa
á	aþ
Íslandi	nheþ-s
til	ae
að	cn
byrja	sng
með	aa
,	,
byrja	sng
í	aþ
háskólanum	nkeþg
og	c
síðan	aa
spá	sng
í	ao
það	fpheo
að	cn
fara	sng
utan	aa
.	.

Það	fphen
er	sfg3en
svo	aa
ótrúlega	aa
margt	lhensf
í	aþ
boði	nheþ
í	ao
dag	nkeo
sem	ct
hægt	lhensf
er	sfg3en
að	cn
gera	sng
og	c
allir	fokfn
geta	sfg3fn
fundið	ssg
eitthvað	foheo
við	ao
sitt	feheo
hæfi	nheo
.	.

Það	fahen
fyrsta	lhenve
sem	ct
ég	fp1en
gerði	sfg1eþ
til	ae
að	cn
finna	sng
einhverja	foveo
ákvörðun	nveo
um	ao
framhaldið	nheog
var	sfg3eþ
að	cn
hugsa	sng
hverju	fsheþ
ég	fp1en
hefði	svg1eþ
áhuga	nkeo
á	aþ
.	.

Það	fahen
fyrsta	lhenve
sem	ct
kom	sfg3eþ
í	ao
hugann	nkeog
var	sfg3eþ
söngurinn	nkeng
.	.

Það	fphen
er	sfg3en
áhugamál	nhen
sem	ct
ég	fp1en
stunda	sfg1en
og	c
hef	sfg1en
gaman	nheo
að	aa
.	.

En	c
þá	aa
er	sfg3en
að	cn
hugsa	sng
með	aþ
sér	fpkeþ
hvort	c
það	fphen
sé	svg3en
eitthvað	fohen
sem	ct
maður	nken
myndi	svg3eþ
vilja	sng
starfa	sng
við	aa
í	aþ
framtíðinni	nveþg
?	?

Hugsanlega	aa
en	c
ég	fp1en
vil	sfg1en
samt	aa
ekki	aa
einungis	aa
vera	sng
menntuð	lvensf
söngkona	nven
eða	c
söngkennari	nken
,	,
ég	fp1en
vil	sfg1en
eitthvað	foheo
meira	lheovm
.	.

Mig	fp1eo
langar	sfg3en
til	ae
að	cn
fara	sng
í	ao
háskólanám	nheo
í	aþ
svokölluðum	lvfþsf
bóklegum	lvfþsf
greinum	nvfþ
.	.

Ég	fp1en
hafði	sfg1eþ
þó	aa
ekki	aa
hugsað	ssg
mér	fp1eþ
að	cn
fara	sng
í	ao
áframhaldandi	lheoof
viðskiptanám	nheo
.	.

Það	fphen
var	sfg3eþ
óáhugavert	lhensf
og	c
hentaði	sfg3eþ
mér	fp1eþ
alls	fohee
ekki	aa
.	.

Næst	aae
hugsaði	sfg1eþ
ég	fp1en
um	aa
hvaða	fshfn
fög	nhfn
það	fphen
væru	svg3fþ
í	aþ
skólanum	nkeþg
sjálfum	fbkeþ
sem	ct
væru	svg3fþ
áhugaverðar	lvfnsf
og	c
viti	svg3fn
menn	nkfn
það	fphen
voru	sfg3fþ
nokkrar	fovfn
viðskiptagreinar	nvfn
.	.

Það	fphen
var	sfg3eþ
stjórnun	nven
og	c
markaðsfræði	nven
,	,
það	fphen
voru	sfg3fþ
einnig	aa
þær	favfn
greinar	nvfn
sem	ct
ég	fp1en
stend	sfg1en
mig	fp1eo
best	aae
í	aa
.	.

Þetta	fahen
hefði	svg3eþ
mér	fp1eþ
aldrei	aa
dottið	ssg
í	ao
hug	nkeo
að	c
ég	fp1en
myndi	svg1eþ
vera	sng
að	cn
hugsa	sng
um	ao
að	cn
fara	sng
að	cn
læra	sng
viðskiptafræði	nveo
í	aþ
háskóla	nkeþ
.	.

Ég	fp1en
er	sfg1en
búin	lvensf
að	cn
tönnlast	snm
á	aa
síðan	c
ég	fp1en
byrjaði	sfg1eþ
í	aþ
Verzlunarskólanum	nkeþgs
að	c
viðskiptanám	nhen
hentaði	svg3eþ
mér	fp1eþ
ekki	aa
.	.

En	c
það	fphen
er	sfg3en
samt	aa
líka	aa
svo	aa
margt	lhensf
annað	fohen
sem	ct
ég	fp1en
er	sfg1en
að	cn
spá	sng
í	aa
því	fpheþ
framboðið	nheng
,	,
bæði	c
á	aþ
háskólum	nkfþ
og	c
á	aþ
námi	nheþ
er	sfg3en
svo	aa
gífurlega	aa
mikið	lhensf
.	.

Það	fphen
er	sfg3en
ekki	aa
bara	aa
nóg	lhensf
að	cn
velja	sng
hvað	fsheo
þú	fp2en
vilt	sfg2en
læra	sng
,	,
þú	fp2en
þarft	sfg2en
líka	aa
að	cn
velja	sng
skólann	nkeog
og	c
velja	sng
undirgreinar	nvfo
.	.

Það	fphen
þarf	sfg3en
að	cn
